@id,@lat,@lon,name,leisure,sport
9797897,51.6359160,-0.1513950,,pitch,tennis
9924916,51.3678534,0.1052986,,pitch,tennis
9924923,51.3675890,0.1059311,,pitch,tennis
9935948,51.4784627,-0.3353196,,pitch,tennis
10364073,51.4353046,-0.2147903,No. 1 Court,stadium,tennis
10589795,51.4932991,-0.4004009,David Lloyd Raquet Health and Fitness Club,sports_centre,tennis
10742217,52.6226076,-1.0773903,,pitch,tennis
12356168,51.1956653,0.2210514,,pitch,tennis
12546159,51.6615881,-0.0920209,,pitch,tennis
12546223,51.6619128,-0.0914544,,pitch,tennis
12716429,53.3824213,-2.9411495,,pitch,tennis
13001136,51.4492846,-0.0963093,,pitch,tennis
13001160,51.4490732,-0.0963200,,pitch,tennis
13001198,51.4485919,-0.0943157,,pitch,tennis
13001238,51.4486704,-0.0939433,,pitch,tennis
13001247,51.4479257,-0.0940238,,pitch,tennis
13868528,51.4052257,-0.1172761,Norbury Park Lawn Tennis Club,sports_centre,tennis
13869015,51.5032022,-0.1734955,,pitch,tennis
14479493,51.4529509,-0.1706461,,,tennis
15105375,52.1145160,-1.0525155,,pitch,tennis
15137411,51.6432134,-0.0787098,Enfield Chase Tennis Club,sports_centre,tennis
15244537,54.7739736,-1.5742041,Hatfield College Tennis Court,pitch,tennis
15244833,51.4842623,-0.4120248,,pitch,tennis
15254174,51.3725557,-0.0512133,,pitch,tennis
15465760,52.1047695,-1.2210436,,pitch,tennis
15509489,51.4618566,-2.5487849,,pitch,tennis
16099230,54.7554830,-5.7084394,,pitch,tennis
16528895,52.9519703,-1.1606952,Park Tennis Club,sports_centre,tennis
16547827,52.9344885,-1.1901450,Nottingham Tennis Centre,sports_centre,tennis
17174180,51.4935627,-2.4951435,,pitch,tennis
17201068,51.4814436,-2.4966005,,pitch,tennis
17207219,51.4911328,-2.5072322,,pitch,tennis
17241989,51.5495925,-2.5680625,Almondsbury Tennis Club,pitch,tennis
17242166,51.5777540,-2.5706067,,pitch,tennis
17280837,54.5795643,-5.9064223,,pitch,tennis
17555586,51.6098976,-0.1959145,Finchley Lawn Tennis Club,sports_centre,tennis
18099654,51.6011060,-0.2040908,,pitch,tennis
18569318,54.5923474,-5.9686435,,pitch,tennis
18569751,54.5738164,-5.9529113,,pitch,tennis
18583810,54.5152384,-6.0399339,,pitch,tennis
18852479,54.5615276,-5.9108234,,pitch,tennis
19248526,51.3164380,0.0458218,,pitch,tennis
19363751,52.3355234,-0.1198895,,pitch,tennis
19789972,51.5855066,-0.1955661,,pitch,tennis
19801627,51.3151504,-0.1332446,,pitch,tennis
19847688,51.3558983,-1.1352874,Tadley Common Tennis Court,pitch,tennis
20047672,51.1056970,-0.1497422,,pitch,tennis
20211765,51.6447466,-0.3042647,Elstree Lawn Tennis Club,sports_centre,tennis
20212520,51.5977245,-0.1902064,,pitch,tennis
22141429,51.5834940,-0.3289152,,,tennis
22312263,51.5893332,-0.3513649,,sports_centre,tennis
22708487,51.3542888,-1.1237883,,pitch,tennis
22818792,51.6269876,0.0771107,,pitch,tennis
22933413,51.4816323,-0.0929126,Court 3,pitch,tennis
22933414,51.4815278,-0.0917060,Court 7,pitch,tennis
22938896,51.3247697,-1.2400637,,pitch,tennis
22991220,51.2461702,-0.5248171,,pitch,tennis
22991237,51.2458546,-0.5246214,,pitch,tennis
22999227,51.3540759,-0.2181223,,pitch,tennis
22999238,51.3546080,-0.2185149,,pitch,tennis
22999242,51.3543504,-0.2182120,,pitch,tennis
22999266,51.3550330,-0.2260267,,pitch,tennis
22999270,51.3550765,-0.2255470,,pitch,tennis
23022262,51.3497261,-0.2157818,,pitch,tennis
23022287,51.3497808,-0.2155864,,pitch,tennis
23022288,51.3498442,-0.2153613,,pitch,tennis
23022292,51.3499087,-0.2151312,,pitch,tennis
23022319,51.3382121,-0.2107812,St Andrews Tennis CLub,pitch,tennis
23022320,51.3382898,-0.2105966,St Andrews Tennis CLub,pitch,tennis
23022325,51.3383623,-0.2104035,St Andrews Tennis CLub,pitch,tennis
23038299,51.3457497,-0.1415380,,,tennis
23038300,51.3458023,-0.1413322,,,tennis
23038301,51.3458530,-0.1411399,,,tennis
23038302,51.3459035,-0.1409240,,,tennis
23038303,51.3459709,-0.1406811,,,tennis
23038304,51.3460278,-0.1404719,,,tennis
23086131,51.4527927,-0.3250722,,pitch,tennis
23110166,51.5222751,0.3970199,,pitch,tennis
23129050,53.7301933,-0.4401601,,pitch,tennis
23141600,51.5481918,0.1676901,,pitch,tennis
23190633,52.0728687,1.1535352,Ipswich Sports Club,sports_centre,tennis
23219468,51.2611195,-0.5483511,,pitch,tennis
23277678,51.2964389,-0.1945052,,pitch,tennis
23316456,52.9348831,-1.2048734,,pitch,tennis
23331590,51.2062892,1.3968202,,pitch,tennis
23339670,52.8401998,-1.5554509,,pitch,tennis
23343281,52.9052511,-1.2289056,,pitch,tennis
23379823,51.5049127,-0.5059901,Tennis Courts,,tennis
23398267,51.3835877,-0.4134647,,pitch,tennis
23442029,52.2084557,0.0962136,Cambridge Lawn Tennis Club,sports_centre,tennis
23446210,51.5147125,-0.2202679,,pitch,tennis
23446211,51.5143377,-0.2204989,,pitch,tennis
23448049,51.6347904,-0.1121609,,pitch,tennis
23483070,51.4946039,0.3351643,,pitch,tennis
23549936,55.9188645,-4.3415703,,pitch,tennis
23550456,51.6194799,-2.1301930,,pitch,tennis
23556205,51.4555018,-0.3059735,,pitch,tennis
23643024,51.8832214,0.1078756,,pitch,tennis
23716271,51.6190933,-0.1177009,,pitch,tennis
23716272,51.6186690,-0.1181556,,pitch,tennis
23762937,51.4947065,-0.2374728,,pitch,tennis
23793334,51.6897529,-0.2075071,,pitch,tennis
23794630,52.1874725,0.1636356,,pitch,tennis
23813189,51.8317383,-0.6250183,,pitch,tennis
23858793,53.9164013,-0.9230742,,pitch,tennis
23953039,53.7665607,-0.6073529,South Cave Tennis Club,pitch,tennis
23963372,52.7083750,-2.7734588,,pitch,tennis
23963382,52.7086142,-2.7725770,,pitch,tennis
23998016,52.0251252,0.2409015,,pitch,tennis
24065728,51.1104346,-0.1818056,,pitch,tennis
24149416,51.3454481,-0.6024304,Chobham Tennis Club,,tennis
24151633,51.2907503,0.3085459,,pitch,tennis
24154140,52.1021422,1.3268780,,pitch,tennis
24202675,51.3158788,-1.1607645,,pitch,tennis
